Sort_Order,Full_Species,Species_ID,Species_ID_Prev,Parent_ID,English_Name,French_Name,Spanish_Name,Scientific_Name,MBCA_2013,CDN_Status,AviBase_Status,Prev_CND_Status,WildSpecies2010,Origin,Family_Sci,Family_Sci_FR,Family_CmName_EN,Family_CmName_FR,Subfamily,Order,Previous_Sci_Name,Previous_EN_Name,Previous_FR_Name,Technical_Committees,Inland_and_Marsh_Waterbirds_SubTC,Seabirds_SubTC,Alpha_Code_BBL,Alpha_Code_FR,BBL_Number,BBS_Number,,,,
164,Yes,STHR,SRTH,,Stripe-throated Hermit,Ermite à gorge rayée,Ermitaño Enano,Phaethornis striigularis,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Phaethornithinae,Apodiformes,,,,,No,No,,,,12390,,,,
165,Yes,GFRL,,,Green-fronted Lancebill,Porte-lance de Louise,Colibrí Picolanza Mayor,Doryfera ludovicae,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
166,Yes,BRVI,,,Brown Violetear,Colibri de Delphine,Colibrí Pardo,Colibri delphinae,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
167,Yes,MEVI,"GREV, GRVE",,Mexican Violetear,Colibri thalassin,Colibrí verdemar,Colibri thalassinus,No,ACC,Accidental,,Accidental,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,"Green Violetear, Green Violet-ear",,LA,No,No,GVIO,,4271,04271,,,,
168,Yes,LEVI,,,Lesser Violetear,Colibri cyanote,Lesser Violet-ear,Colibri cyanotus,No,DNO,,,,,"Trochilidae
Trochilidae",Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
169,Yes,TBHU,,,Tooth-billed Hummingbird,Colibri d'Équateur,Colibrí Piquidentado,Androdon aequatorialis,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
170,Yes,PCFA,,,Purple-crowned Fairy,Colibri féérique,Hada Enmascarada,Heliothryx barroti,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,13100,,,,
171,Yes,RTOH,,,Ruby-topaz Hummingbird,Colibri rubis-topaze,Colibrí Rubí,Chrysolampis mosquitus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
172,Yes,GNBM,GREM,,Green-breasted Mango,Mango de Prévost,Colibrí Garganta Negra,Anthracothorax prevostii,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,GREM,,4366,12500,,,,
173,Yes,BTMA,,,Black-throated Mango,Mango à cravate noire,Mango Gorginegro,Anthracothorax nigricollis,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
174,Yes,VEMA,,,Veraguan Mango,Mango de Veraguas,Mango de Veragua,Anthracothorax veraguensis,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
175,Yes,ANMA,,,Antillean Mango,Mango doré,Mango Antillano,Anthracothorax dominicus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,ANMA,,9067,12530,,,,
176,Yes,GMAG,GRMA,,Green Mango,Mango vert,Mango Portorriqueño,Anthracothorax viridis,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,GRMA,,4362,12540,,,,
176.1,Yes,JAMA,,,Jamaican Mango,Mango de la Jamaïque,Mango Jamaicano,Anthracothorax mango,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,JAMA,,4361,,,,,
176.2,Yes,PTCA,,,Purple-throated Carib,Colibri madère,Colibrí Caribeño Gorgimorado,Eulampis jugularis,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
176.3,Yes,GTCA,,,Green-throated Carib,Colibri falle-vert,Colibrí Caribeño Gorgiverde,Eulampis holosericeus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,GTCA,,4363,12560,,,,
176.4,Yes,GRET,,,Green Thorntail,Coquette à queue fine,Rabudito Verde,Discosura conversii,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
176.5,Yes,SCCO,,,Short-crested Coquette,Coquette du Guerrero,Coqueta Cresta Corta,Lophornis brachylophus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12601,,,,
176.6,Yes,RCRC,,,Rufous-crested Coquette,Coquette de Delattre,Coqueta Crestirrufa,Lophornis delattrei,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12600,,,,
176.7,Yes,BCCO,,,Black-crested Coquette,Coquette d'Hélène,Coqueta Cresta Negra,Lophornis helenae,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12610,,,,
176.8,Yes,WCCO,,,White-crested Coquette,Coquette adorable,Coqueta Adorable,Lophornis adorabilis,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
176.9,Yes,GRPU,,,Greenish Puffleg,Érione d'Aurélie,Colibrí Pantalón Verdoso,Haplophaedia aureliae,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
177,Yes,GCBR,,,Green-crowned Brilliant,Brillant fer-de-lance,Brillante Coroniverde,Heliodoxa jacula,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
177.1,Yes,MAHU,,,Magnificent Hummingbird,Colibri de Rivoli,Colibrí Magnífico,Eugenes fulgens,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,MAHU,,4260,04260,,,,
177.2,Yes,FTHU,,,Fiery-throated Hummingbird,Colibri insigne,Colibrí Insigne,Panterpe insignis,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
177.3,Yes,LBST,,,Long-billed Starthroat,Colibri corinne,Colibrí Pico Largo,Heliomaster longirostris,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,13110,,,,
177.4,Yes,PCST,,,Plain-capped Starthroat,Colibri de Constant,Colibrí Picudo,Heliomaster constantii,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,PCST,,4261,04261,,,,
177.5,Yes,GTMG,,,Green-throated Mountain-gem,Colibri vert-d'eau,Colibrí Garganta Verde,Lampornis viridipallens,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,13010,,,,
177.6,Yes,GBMG,,,Green-breasted Mountain-gem,Colibri de Sybil,Colibrí de Sibila,Lampornis sybillae,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
177.7,Yes,ATHU,,,Amethyst-throated Hummingbird,Colibri à gorge améthyste,Colibrí Garganta Amatista,Lampornis amethystinus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,13030,,,,
177.8,Yes,BTHH,BLUH,,Blue-throated Hummingbird,Colibri à gorge bleue,Colibrí Garganta Azul,Lampornis clemenciae,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,BLUH,,4270,04270,,,,
177.9,Yes,WBMG,,,White-bellied Mountain-gem,Colibri à gorge lilas,Colibrí Gorgivioleta,Lampornis hemileucus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
177.99,Yes,PTMG,,,Purple-throated Mountain-gem,Colibri à gorge pourprée,Colibrí montañés gorgimorado,Lampornis calolaemus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
178,Yes,WTMG,,,White-throated Mountain-gem,Colibri à ventre châtain,Gema de Garganta Blanca,Lampornis castaneoventris,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
178.1,Yes,GATH,,,Garnet-throated Hummingbird,Colibri à gorge grenat,Colibrí Ala Castaña,Lamprolaima rhami,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,13070,,,,
178.2,Yes,BAWO,,,Bahama Woodstar,Colibri des Bahamas,Colibrí de las Bahamas,Calliphlox evelynae,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,BAWO,,4371,04371,,,,
178.3,Yes,INWO,,,Inagua Woodstar,Colibri d'Inagua,Inaguan Woodstar,Calliphlox lyrura,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
178.4,Yes,MTWO,,,Magenta-throated Woodstar,Colibri magenta,Colibrí Magenta,Calliphlox bryantae,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
178.45,Yes,PTWO,,,Purple-throated Woodstar,Colibri de Mitchell,Colibrí de Mitchell,Calliphlox mitchellii,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
178.5,Yes,SLSH,,,Slender Sheartail,Colibri à queue singulière,Colibrí Tijereta,Doricha enicura,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,13130,,,,
178.6,Yes,MESH,,,Mexican Sheartail,Colibri élise,Colibrí Cola Hendida,Doricha eliza,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,13140,,,,
178.7,Yes,SKTH,SPTH,,Sparkling-tailed Hummingbird,Colibri zémès,Colibrí Cola Pinta,Tilmatura dupontii,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,13150,,,,
178.8,Yes,LUHU,,,Lucifer Hummingbird,Colibri lucifer,Colibrí Lucifer,Calothorax lucifer,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,LUHU,,4370,04370,,,,
178.9,Yes,BEAH,,,Beautiful Hummingbird,Colibri charmant,Colibrí Oaxaqueño,Calothorax pulcher,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,13160,,,,
178.91,Yes,RTHU,,,Ruby-throated Hummingbird,Colibri à gorge rubis,Colibrí Garganta Rubí,Archilochus colubris,Yes,BRE,Nesting,,Secure,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,LA,No,No,RTHU,COGR,4280,04280,,,,
178.92,Yes,BCHU,,,Black-chinned Hummingbird,Colibri à gorge noire,Colibrí Barba Negra,Archilochus alexandri,Yes,BRE,Nesting,,Secure,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,LA,No,No,BCHU,,4290,04290,,,,
178.93,Yes,VEHU,,,Vervain Hummingbird,Colibri nain,Colibrí Zumbadorcito,Mellisuga minima,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
178.94,Yes,BEEH,,,Bee Hummingbird,Colibri d'Helen,Colibrí Zunzuncito,Mellisuga helenae,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
178.95,Yes,ANHU,,,Anna's Hummingbird,Colibri d'Anna,Colibrí Cabeza Roja,Calypte anna,Yes,BRE,Nesting,,Secure,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,LA,No,No,ANHU,,4310,04310,,,,
178.96,Yes,COHU,,,Costa's Hummingbird,Colibri de Costa,Colibrí Cabeza Violeta,Calypte costae,No,ACC,Accidental,,Accidental,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,LA,No,No,COHU,,4300,04300,,,,
178.97,Yes,BUHU,,,Bumblebee Hummingbird,Colibri héloïse,Zumbador Mexicano,Atthis heloisa,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,BUHU,,4350,04350,,,,
178.98,Yes,WTHH,,,Wine-throated Hummingbird,Colibri d'Elliot,Zumbador Magenta,Atthis ellioti,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,13190,,,,
178.99,Yes,BTAH,BTHU,,Broad-tailed Hummingbird,Colibri à queue large,Zumbador Cola Ancha,Selasphorus platycercus,No,ACC,Accidental,,Accidental,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,LA,No,No,BTLH,,4320,04320,,,,
178.991,Yes,RUHU,,,Rufous Hummingbird,Colibri roux,Zumbador Rufo,Selasphorus rufus,Yes,BRE,Nesting,,Secure,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,LA,No,No,RUHU,,4330,04330,,,,
178.992,Yes,ALHU,,,Allen's Hummingbird,Colibri d'Allen,Zumbador de Allen,Selasphorus sasin,No,DNO,,UNK_2015,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,ALHU,,4340,04340,,,,
178.993,No,UNHU,HUMM_UNI,,Unidentified Hummingbird,Colibri non identifié,,,No,,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,UNHU,,4409,04402,,,,
178.994,No,USHU,,,Unidentified Selaphorus Hummingbird,Colibri Selasphorus non identifié,,Selasphorus sp.,No,,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
178.995,Yes,VOHU,,,Volcano Hummingbird,Colibri flammule,Colibrí Volcanero,Selasphorus flammula,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
178.996,Yes,GLTH,,,Glow-throated Hummingbird,Colibri ardent,Colibrí Ardiente,Selasphorus ardens,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
178.997,Yes,SCHU,,,Scintillant Hummingbird,Colibri scintillant,Colibrí Centelleante,Selasphorus scintilla,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
178.998,Yes,CAHU,,,Calliope Hummingbird,Colibri calliope,Colibrí Garganta Rayada,Selasphorus calliope,Yes,BRE,Nesting,,Secure,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,Stellula calliope,,,LA,No,No,CAHU,,4360,04360,,,,
178.999,Yes,GCEM,,,Golden-crowned Emerald,Émeraude couronnée,Esmeralda Mexicana,Chlorostilbon auriceps,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12641,,,,
178.9991,Yes,COEM,,,Cozumel Emerald,Émeraude de Cozumel,Esmeralda de Cozumel,Chlorostilbon forficatus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,COEM,,,12642,,,,
178.9992,Yes,CAEM,,,Canivet's Emerald,Émeraude de Canivet,Esmeralda Tijereta,Chlorostilbon canivetii,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,CAEM,,,12640,,,,
178.9993,Yes,GAEM,,,Garden Emerald,Émeraude du Panama,Esmeralda de Panama,Chlorostilbon assimilis,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
178.9994,Yes,CUEM,,,Cuban Emerald,Émeraude de Ricord,Esmeralda Zunzún,Chlorostilbon ricordii,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
179,Yes,BREM,,,Brace's Emerald,Émeraude de New Providence,,Chlorostilbon bracei,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
180,Yes,HIEM,,,Hispaniolan Emerald,Émeraude d'Hispaniola,Esmeralda de la Española,Chlorostilbon swainsonii,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
181,Yes,PREM,,,Puerto Rican Emerald,Émeraude de Porto Rico,Esmeralda Portorriqueña,Chlorostilbon maugaeus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,PREM,,4402,12680,,,,
182,Yes,DUHU,,,Dusky Hummingbird,Colibri sombre,Colibrí Oscuro,Cynanthus sordidus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12690,,,,
183,Yes,BBIH,BBHL,,Broad-billed Hummingbird,Colibri circé,Colibrí Pico Ancho,Cynanthus latirostris,No,ACC,Accidental,,Accidental,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,LA,No,No,BBLH,,4410,04410,,,,
184,Yes,BHHU,,,Blue-headed Hummingbird,Colibri à tête bleue,Colibrí Bicolor,Cyanophaia bicolor,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
185,Yes,VHHU,,,Violet-headed Hummingbird,Colibri à tête violette,Colibrí Cabeciazul,Klais guimeti,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
186,Yes,ECHU,,,Emerald-chinned Hummingbird,Colibri d'Abeillé,Colibrí Pico Corto,Abeillia abeillei,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12590,,,,
187,Yes,ANCH,ACHU,,Antillean Crested Hummingbird,Colibri huppé,Colibrí Crestado,Orthorhyncus cristatus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,ACHU,,4364,12570,,,,
188,Yes,SBRH,,,Scaly-breasted Hummingbird,Colibri de Cuvier,Chupaflor Pechiescamado,Phaeochroa cuvierii,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12430,,,,
189,Yes,WTSA,,,Wedge-tailed Sabrewing,Campyloptère pampa,Fandanguero Cola Cuña,Campylopterus curvipennis,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12440,,,,
190,Yes,LTSA,,,Long-tailed Sabrewing,Campyloptère de Wetmore,Fandanguero Cola Larga,Campylopterus excellens,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12450,,,,
191,Yes,RUSA,,,Rufous Sabrewing,Campyloptère roux,Fandanguero Rojizo,Campylopterus rufus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12460,,,,
192,Yes,VISA,,,Violet Sabrewing,Campyloptère violet,Fandanguero Morado,Campylopterus hemileucurus,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12470,,,,
193,Yes,STHM,STLH,,Stripe-tailed Hummingbird,Colibri à épaulettes,Colibrí Cola Rayada,Eupherusa eximia,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12920,,,,
194,Yes,BCAH,,,Blue-capped Hummingbird,Colibri d'Oaxaca,Colibrí Oaxaqueño,Eupherusa cyanophrys,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12930,,,,
195,Yes,WTAH,,,White-tailed Hummingbird,Colibri du Guerrero,Colibrí Cola Blanca,Eupherusa poliocerca,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12940,,,,
196,Yes,BLBH,,,Black-bellied Hummingbird,Colibri à ventre noir,Colibrí Ventrinegro,Eupherusa nigriventris,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
197,Yes,WTEM,,,White-tailed Emerald,Colibri elvire,Esmeralda Elvira,Elvira chionura,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
198,Yes,CHEM,,,Coppery-headed Emerald,Colibri à tête cuivrée,Esmeralda Capirotada,Elvira cupreiceps,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
198.1,Yes,SNOC,,,Snowcap,Colibri à coiffe blanche,Colibrí Coroniblanco,Microchera albocoronata,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
198.2,Yes,WVPL,,,White-vented Plumeleteer,Colibri de Buffon,Colibrí de Buffon,Chalybura buffonii,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
198.3,Yes,BTPL,,,Bronze-tailed Plumeleteer,Colibri à queue bronzée,Colibrí Patirrojo,Chalybura urochrysia,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
198.4,Yes,MEWO,,,Mexican Woodnymph,Dryade du Mexique,Ninfa Mexicana,Thalurania ridgwayi,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12710,,,,
198.5,Yes,CRWO,VCWO,,Crowned Woodnymph,Dryade couronnée,Zafiro Coroniazul,Thalurania colombica,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,Violet-crowned Woodnymph,,,No,No,,,,,,,,
198.6,Yes,WBEM,,,White-bellied Emerald,Ariane candide,Colibrí Cándido,Amazilia candida,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12800,,,,
198.7,Yes,HOEM,,,Honduran Emerald,Ariane de Lucy,Amazilia Hondureña,Amazilia luciae,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
198.8,Yes,BCHH,,,Blue-chested Hummingbird,Ariane aimable,Diamante de Collar Azul,Amazilia amabilis,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
198.9,Yes,CHHU,,,Charming Hummingbird,Ariane charmante,Amazilia corona de berilo,Amazilia decora,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
199,Yes,MANH,,,Mangrove Hummingbird,Ariane de Boucard,Amazilia de Manglar,Amazilia boucardi,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
199.1,Yes,AZCH,,,Azure-crowned Hummingbird,Ariane à couronne azur,Colibrí Corona Azul,Amazilia cyanocephala,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12850,,,,
199.2,Yes,BEHU,,,Berylline Hummingbird,Ariane béryl,Colibrí Berilo,Amazilia beryllina,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,BEHU,,4381,04381,,,,
199.3,Yes,BTLH,,,Blue-tailed Hummingbird,Ariane à queue bleue,Colibrí Cola Azul,Amazilia cyanura,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12870,,,,
199.4,Yes,SVHU,,,Steely-vented Hummingbird,Ariane de Sophie,Amazilia Verdiazul,Amazilia saucerottei,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
199.5,Yes,SBEH,,,Snowy-bellied Hummingbird,Ariane d'Edward,Amazilia de Edward,Amazilia edward,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,,,,,
199.6,Yes,RTAH,RUFH,,Rufous-tailed Hummingbird,Ariane à ventre gris,Colibrí Cola Rojiza,Amazilia tzacatl,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,RUFH,,4380,04380,,,,
199.7,Yes,BBEH,BUFH,,Buff-bellied Hummingbird,Ariane du Yucatan,Colibrí Yucateco,Amazilia yucatanensis,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,BUFH,,4390,04390,,,,
199.8,Yes,CIHU,,,Cinnamon Hummingbird,Ariane cannelle,Colibrí Canela,Amazilia rutila,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,,,,12900,,,,
199.9,Yes,VCHU,,,Violet-crowned Hummingbird,Ariane à couronne violette,Colibrí Corona Violeta,Amazilia violiceps,No,DNO,,,,,Trochilidae,Trochilidés,Hummingbirds,Colibris,Trochilinae,Apodiformes,,,,,No,No,VCHU,,4391,04391,,,,
