Sort_Order,Full_Species,Species_ID,Species_ID_Prev,Parent_ID,English_Name,French_Name,Spanish_Name,Scientific_Name,MBCA_2013,CDN_Status,AviBase_Status,Prev_CND_Status,WildSpecies2010,Origin,Family_Sci,Family_Sci_FR,Family_CmName_EN,Family_CmName_FR,Subfamily,Order,Previous_Sci_Name,Previous_EN_Name,Previous_FR_Name,Technical_Committees,Inland_and_Marsh_Waterbirds_SubTC,Seabirds_SubTC,Alpha_Code_BBL,Alpha_Code_FR,BBL_Number,BBS_Number,,,,
18,Yes,SNGO,,,Snow Goose,Oie des neiges,Ganso Blanco,Chen caerulescens,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,OINE,,01690,,,,
18.1,No,SNGO_BLU,,SNGO,Snow Goose - blue morph,Oie des neiges (phase bleue),,Chen caerulescens,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,BLGO,,1691,01691,,,,
18.2,No,SNGO_GRE,,SNGO,Greater Snow Goose,Grande Oie des neiges,,Chen caerulescens atlanticus,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,GSGO,,1699,,,,,
18.3,No,GSGW,SNGO_GWH,SNGO,Greater Snow Goose - white morph,Grande Oie des neiges,,Chen caerulescens,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,SNGO,,1699,,,,,
18.4,No,GSGB,SNGO_GBL,SNGO,Greater Snow Goose - blue morph,Grande Oie des neiges (phase bleue),,Chen caerulescens,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,BLGO,,1691,,,,,
18.5,No,GSGI,SNGO_GIN,SNGO,Greater Snow Goose - intermediate blue/white morph,Grande Oie des neiges (phase intermédiaire),,Chen caerulescens,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,SNGO,,1695,,,,,
18.6,No,SNGO_LES,,,Lesser Snow Goose,Petite Oie des neiges,,Chen caerulescens caerulescens,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,LSGO,,1695,,,,,
18.7,No,LSGW,SNGO_LES,SNGO,Lesser Snow Goose - white morph,Petite Oie des neiges,,Chen caerulescens,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,LSGO,,1690,,,,,
18.8,No,LSGB,SNGO_LBL,SNGO,Lesser Snow Goose - blue form,Petite Oie des neiges (phase bleue),,Chen caerulescens,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,BLGO,,1691,,,,,
18.9,No,LSGI,,SNGO,Lesser Snow Goose - intermediate blue/white morph,Petite Oie des neiges (phase intermédiaire),,Chen caerulescens,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,SBGI,,1695,,,,,
18.91,No,SNGO_LWA,,SNGO,Lesser Snow Goose - Western Arctic population,Petite Oie des neiges - population de l'ouest de l'arctique,,Chen caerulescens,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
18.92,No,SNGO_LMC,,SNGO,Lesser Snow Goose - Mid-continent population,Petite Oie des neiges - population du centre du continent,,Chen caerulescens,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
18.93,No,SNGO_LWC,,SNGO,Lesser Snow Goose - Western Central Flyway population,Petite Oie des neiges - population de la partie occidentale de la voie migratoire centrale,,Chen caerulescens,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
18.94,No,SNGO_LWI,,SNGO,Lesser Snow Goose - Wrangel Island population,Petite Oie des neiges - population de l'île Wrangel,,Chen caerulescens,,RNB,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
18.95,No,SRGH,,,Snow/Ross's Goose hybrid,Hybride d'Oie des neiges et d'Oie de Ross,,Chen caerulescens x rossii,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,SRGH,,1703,,,,,
19,Yes,ROGO,,,Ross's Goose,Oie de Ross,Ganso de Ross,Chen rossii,Yes,BRE,Breeding endemic,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,ROGO,,1700,01700,,,,
20,Yes,BRAN,,,Brant,Bernache cravant,Ganso de Collar,Branta bernicla,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,BECR,,01730,,,,
20.1,No,BLBR,BRAN_BLA,BRAN,Black Brant,Bernache noire,,Branta bernicla nigricans,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,BLBR,,1740,01740,,,,
20.2,No,ATBR,BRAN_ATL,BRAN,Atlantic Brant,Bernache cravant de l'Atlantique,,Branta bernicla bernicla,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,ATBR,,1730,,,,,
20.3,No,BRAN_EHA,,BRAN,Brant - Eastern High Arctic population,Bernache cravant de l'est de l'Extrême-Arctique,,Branta bernicla,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
20.4,No,BRAN_PAC,,BRAN,Brant - Pacific population,Bernache cravant du Pacifique,,Branta bernicla,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
20.5,No,BRAN_WHA,,BRAN,Brant - Western High Arctic population,Bernache cravant de l'ouest de l'Extrême-Arctique,,Branta bernicla,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
20.6,No,BRAN_INT,,BRAN,Black x Atlantic Brant intergrade,,,Branta nigricans x bernicla,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,,No,No,BABI,,1731,,,,,
21,Yes,BARG,BRNG,,Barnacle Goose,Bernache nonnette,Barnacla Cariblanca,Branta leucopsis,No,ACC,Accidental,,Accidental,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,BRNG,,1750,01750,,,,
22,Yes,CACG,,,Cackling Goose,Bernache de Hutchins,Ganso Cacareador,Branta hutchinsii,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,Branta canadensis,Canada Goose,,WF,No,No,CACG,BEHU,1722,01725,,,,
