"Alpha";"English";"French";"group_atlas";"group_atlas_fr"
"SBGU";"Slaty-backed Gull";"Goéland à manteau ardoisé";"Gulls";"Goélands et Mouettes"
"SCMU";"Scripps's Murrelet";"Guillemot de Scripps";"Alcids";"Alcidés"
"SOSH";"Sooty Shearwater";"Puffin fuligineux";"Shearwaters";"Puffins"
"SOTE";"Sooty Tern";"Sterne fuligineuse";"Terns";"Sternes"
"SPSK";"South Polar Skua";"Labbe de McCormick";"Skuas";"Grands Labbes"
"SRTS";"Short-tailed Shearwater";"Puffin à bec grêle";"Shearwaters";"Puffins"
"TBMU";"Thick-billed Murre";"Guillemot de Brünnich";"Alcids";"Alcidés"
"THGU";"Thayer's Gull";"Goéland de Thayer";"Gulls";"Goélands et Mouettes"
"TUPU";"Tufted Puffin";"Macareux huppé";"Alcids";"Alcidés"
"WEGU";"Western Gull";"Goéland d'Audubon";"Gulls";"Goélands et Mouettes"
"WFSP";"White-faced Storm-Petrel";"Océanite frégate";"Storm-Petrels";"Océanites"
"WIPH";"Wilson's Phalarope";"Phalarope de Wilson";"Phalaropes";"Phalaropes"
"WISP";"Wilson's Storm-Petrel";"Océanite de Wilson";"Storm-Petrels";"Océanites"
"WWTE";"White-winged Tern";"Guifette leucoptère";"Terns";"Sternes"
"YLGU";"Yellow-legged Gull";"Goéland leucophée";"Gulls";"Goélands et Mouettes"
